State,Website-URL,Station, Town ,Latitude,Longitude,Talkback-number,Enquiries-number,Fax-number,Sms-number,Street-number,Street-suburb,Street-postcode,PO-box,PO-suburb,PO-postcode, Twitter, Facebook
QLD,http://www.abc.net.au/brisbane/,ABC Radio Brisbane, Brisbane ,-27.47630,153.0205,1300 222 612,07 3377 5222,07 3377 5612,0467 922 612,114 Grey Street,South Brisbane,4101,GPO Box 9994,Brisbane, 4001, abcbrisbane, https://www.facebook.com/abcinbrisbane
QLD,http://www.abc.net.au/capricornia/,ABC Capricornia, Rockhampton ,-23.380056,150.515724,1300 837 222,07 4924 5111,07 4924 5199,0487 993 222,236 Quay Street,Rockhampton,4700,GPO box 911,Rockhampton, 4700, abccapricornia, http://www.facebook.com/ABCCapricornia
QLD,http://www.abc.net.au/farnorth/,ABC Far North, Cairns ,-16.925397,145.775178,1300 801 222,(07) 4044 2011,(07) 4044 2099,0487 993 222,Corner of Upward and Sheridan Streets,Cairns,4870,PO Box 932,Cairns, 4870, ABCFarNorth, http://www.facebook.com/abcfarnorth
QLD,http://www.abc.net.au/goldcoast/,ABC Gold Coast, Gold Coast ,-28.043094,153.434865,1300 903 917,(07) 5595 2917,(07) 5595 2999,0487 993 222,Cnr Francis St and Gold Coast Highway,Mermaid Beach,4217,PO Box 217,Mermaid Beach, 4218, abcgoldcoast, http://www.facebook.com/ABCGoldCoast
QLD,http://www.abc.net.au/northqld/,ABC North Queensland, Townsville ,-19.256418,146.821526,1300 630 222,(07) 4722 3011,(07) 4722 3099,0487 993 222,8 Wickham Street,Townsville,4810,PO Box 694,Townsville, 4810, ABCnorthqld, http://www.facebook.com/ABCnorthqld
QLD,http://www.abc.net.au/northwest/,ABC North West Queensland, Mount Isa ,-20.723053,139.493664,1300 221 065,07 4744 1311,07 4744 1399,0487 993 222,114 Camooweal Street,Mount Isa,4825,,, , abcnorthwestqld, http://www.facebook.com/ABCNorthWestQLD
QLD,http://www.abc.net.au/southqld/,ABC Southern Queensland, Toowoomba ,-27.560079,151.948439,1300 747 222,4631 3811,4631 3899,0487 993 222,297 Margaret St,Toowoomba,4350,PO Box 358,Toowoomba, 4350, abcsouthqld, http://www.facebook.com/ABCSouthernQueensland
QLD,http://www.abc.net.au/sunshine/,ABC Sunshine Coast, Maroochydore ,-26.658822,153.085963,1300 903 222,07 5475 5000,07 5475 5099,0487 993 222,15 Carnaby Street,Maroochydore,4558,PO Box 1212,Maroochydore, 4558, abcsunshine, http://www.facebook.com/ABCSunshineCoast
QLD,http://www.abc.net.au/tropic/,ABC Tropical North, Mackay ,-21.138663,149.180930,1300 101 222,07 4957 1111,07 4957 1199,0487 993 222,2 Wellington St,Mackay,4740,PO Box 127,Mackay, 4740, ABCTropical, http://www.facebook.com/ABCtropic
QLD,http://www.abc.net.au/westqld/,ABC Western Queensland, Longreach ,-23.441048,144.249184,1300 540 222,07 4658 4011,07 4658 4099,0487 993 222,Duck Street,Longreach,4730,PO Box 318,Longreach, 4730, abcwestqld, http://www.facebook.com/ABCWesternQueensland
QLD,http://www.abc.net.au/widebay/,ABC Wide Bay, Bundaberg ,-24.866967,152.351068,1300 221 001,07 4155 4911,07 4155 4999,0487 993 222,Shop 6 -  58 Woongarra Street,Bundaberg,4670,PO Box 1152,Bundaberg, 4670, abcwidebay, https://www.facebook.com/pages/ABC-Wide-Bay/131855023499821
NT,http://www.abc.net.au/alicesprings/,783 ABC Alice Springs, Alice Springs ,-23.711368,133.875999,1300 019 783,08 8950 4711,08 89504799,0487 991 057,Cnr Gap Road and Speed Street,Alice Springs,0870,PO Box 1144,Alice Springs, 0871, 783Alicesprings, http://www.facebook.com/pages/ABC-Alice-Springs/327128167670
NT,http://www.abc.net.au/darwin/,ABC Radio Darwin, Darwin ,-12.464276,130.844421,1300 057 222,08 8943 3222,08 8943 3235,0487 991 057,1 Cavenagh Street,Darwin,0800,GPO Box 9994,Darwin, 0801, abcdarwin, https://www.facebook.com/ABCDarwin/
NT,http://www.abc.net.au/katherine/,ABC Katherine, Katherine ,-14.464568,132.264568,1300 057 222,08 8943 3222,08 8943 3235,0487 991 057,1 Cavenagh Street,Darwin,0800,GPO Box 9994,Darwin, 0801, abcdarwin, http://www.facebook.com/pages/1057-ABC-Darwin/339639229872
NSW,http://www.abc.net.au/brokenhill/,ABC Broken Hill, Broken Hill ,-31.955306,141.469783,(08) 8082 4000,(08) 8082 4011 ,(08) 8082 4099 ,0467 922 783,454 Argent Street,Broken Hill,2880,PO Box 315,Broken Hill, 2880, abcbrokenhill, http://www.facebook.com/pages/999-ABC-Broken-Hill/127304080643826
NSW,http://www.abc.net.au/centralcoast/,ABC Radio Central Coast, Gosford ,-33.426938,151.341843,1300 925 222,02 4367 1911,02 4367 1999,0467 922 684,Suite 2 Level 1 -  131 Donnison Street,Gosford,2250,,, , 925CentralCoast, http://www.facebook.com/abccentralcoast
NSW,http://www.abc.net.au/centralwest/,ABC Central West NSW, Orange ,-33.288293,149.107660,1300 549 222,(02) 6393 2511,(02) 6393 2599,0467 922 684,46 Bathurst Rd,Orange,2800,PO Box 8549,East Orange, 2800, ABCCentralWest, http://www.facebook.com/abccentralwest
NSW,http://www.abc.net.au/coffscoast/,ABC Coffs Coast, Coffs Harbour ,-30.282279,153.128593,1300 222 923,02 6650 3611,02 6650 3699,0467 922 684,24 Gordon Street,Coffs Harbour,2450,PO Box 708,Coffs Harbour, 2454, , http://www.facebook.com/abccoffscoast
NSW,http://www.abc.net.au/illawarra/,ABC Illawarra, Wollongong ,-34.422452,150.891992,1300 973 300,02 42245011,02 4224 5099,0467 922 684,13 Victoria St,Wollongong,2500,PO Box Box 973,Wollongong, 2520, 973abcillawarra, http://www.facebook.com/abcillawarra
NSW,http://www.abc.net.au/midnorthcoast/,ABC Mid North Coast, Port Macquarie ,-31.434259,152.908481,1300 662 279,02 6588 1211 ,02 6588 1299,0467 922 684,51 Lord Street ,Port Macquarie,2444,PO Box 42,Port Macquarie, 2444, ABCMidNorthNSW, http://www.facebook.com/abcmidnorthcoast
NSW,http://www.abc.net.au/newcastle/,1233 ABC Newcastle, Newcastle ,-32.926050,151.757412,1300 331 233,02 49 221 200,02 49 221 222,0487 991 233,24 Wood St,Newcastle West ,2302,PO Box 2205,Dangar, 2309, 1233Newcastle, http://www.facebook.com/1233newcastle
NSW,http://www.abc.net.au/newengland/,ABC New England North West, Tamworth ,-31.093987,150.933756,1300 648 222,02) 6760 2411,02) 6760 2499,0467 922 684,470 Peel Street,Tamworth,2340,PO Box 558,Tamworth, 2340, abcnewengland, http://www.facebook.com/abcnewengland
NSW,http://www.abc.net.au/northcoast/,ABC North Coast, Lismore ,-28.802530,153.291963,1300 659 994,02 6627 2011,02 6627 2099,0467 922 684,61 High Street,Lismore Heights,2480,PO Box 908,Lismore, 2480, ABCNorthCoast, http://www.facebook.com/ABCNorthCoast
NSW,http://www.abc.net.au/riverina/,ABC Riverina, Wagga Wagga ,-35.105242,147.368937,1300 22 1027,02 6923 4811,02 6923 4899,0467 922 684,100 Fitzmaurice St,Wagga Wagga,2650,,, , ABCRiverina, http://www.facebook.com/abcriverina
NSW,http://www.abc.net.au/southeastnsw/,ABC South East NSW, Bega ,-36.674258,149.841853,1300 810 222,6491 6011,6491 6099,0467 922 684,184 Carp Street,Bega,2550,PO Box 336,Bega, 2550, ABCSouthEastNSW, http://www.facebook.com/abcsoutheastnsw
NSW,http://www.abc.net.au/sydney/,ABC Radio Sydney, Sydney ,-33.882123,151.201680,1300 222 702,(02) 8333 1234,(02) 8333 1203,0467 922 702,700 Harris St,Ultimo,2007,GPO Box 9994,Sydney, 2001, abcsydney, http://www.facebook.com/702ABCSydney
NSW,http://www.abc.net.au/upperhunter/,ABC Upper Hunter, Muswellbrook ,-32.263323,150.888821,1300 331 233,6542 2811,6542 2899,0487 991 233,36 Brook Street,Muswellbrook,2333,PO Box 400,Muswellbrook, 2333, abcupperhunter, http://www.facebook.com/abc?sk=app_7146470109
NSW,http://www.abc.net.au/westernplains/,ABC Western Plains, Dubbo ,-32.249537,148.601983,1300 22 1071,02 6881 1811,02 6881 1899,0467 922 684,45 Wingewarra St,Dubbo,2830,PO Box 985,Dubbo, 2830, ABCDubbo, http://www.facebook.com/abcwesternplains
TAS,http://www.abc.net.au/hobart/,ABC Radio Hobart, Hobart ,-42.877787,147.332632,1300 222 936,(03) 6235 3333,(03) 6235 3220,0438 922 936,1-7 Liverpool Street,Hobart,7000,GPO Box 9994,Hobart, 7001, abchobart, https://www.facebook.com/abchobart
TAS,http://www.abc.net.au/northtas/,ABC Northern Tasmania, Launceston ,-41.440209,147.146716,1300 361 688,(03) 6323 1011,(03) 6323 1099,0467 922 917,45 Ann Street,Launceston,7250,PO Box 201,Launceston, 7250, abcnorthtas, http://www.facebook.com/pages/ABC-Northern-Tasmania/208672578733
VIC,http://www.abc.net.au/ballarat/,ABC Ballarat, Ballarat ,-37.562389,143.853169,1300 303 468,03 5320 1011,03 5320 1099,0467 842 722,5 Dawson Street South,Ballarat,3350,PO Box 7,Ballarat, 3353, abcballarat, http://www.facebook.com/abcballaratandsouthwestvic
VIC,http://www.abc.net.au/centralvic/,ABC Central Victoria, Bendigo ,-36.748740,144.291880,1300 813 911,03 5440 1711,03 5440 1799,0467 842 722,278 Napier Street,Bendigo,3550,PO Box 637,Bendigo, 3550, ABCCentralVic, http://www.facebook.com/pages/ABC-Central-Victoria/202250263179709
VIC,http://www.abc.net.au/gippsland/,ABC Gippsland, Sale ,-38.109349,147.068418,1300 295 222,03 5143 5511,03 5143 5599,0467 842 722,336-340 York Street,Sale,3850,PO Box 330,Sale, 3850, abcgippsland, http://www.facebook.com/pages/ABC-Gippsland/96906564824
VIC,http://www.abc.net.au/goulburnmurray/,ABC Goulburn Murray, Wodonga ,-36.112082,146.893163,1300 147 222,02 6049 2011,02 6049 2099,0467 842 722,1 High Street,Wodonga,3690,PO Box 1063,Wodonga, 3690, abcgm, http://www.facebook.com/pages/ABC-Goulburn-Murray/108985902469981
VIC,http://www.abc.net.au/melbourne/,ABC Radio Melbourne, Melbourne ,-37.823692,144.966584,1300 222 774,(03) 9626 1771,(03) 9626 1774,0437 774 774,120 Southbank Boulevard,Southbank,3006,GPO Box 9994,Melbourne, 3001, abcmelbourne, https://www.facebook.com/abcmelbourne
VIC,http://www.abc.net.au/milduraswanhill/,ABC Mildura-Swan Hill, Mildura ,-34.183363,142.158122,1300 043 222,03 5022 4511,03 5022 4599,0467 842 722,73 Pine Avenue,Mildura,3500,PO Box 10083,Mildura, 3502, ABCMilduraSwanH, http://www.facebook.com/ABCMilduraSwanHill
VIC,http://www.abc.net.au/shepparton/,ABC Shepparton, Shepparton ,-36.381171,145.399290,1300 977 222,03 5820 4011,03 5820 4099,0467 842 722,50A Wyndham Street,Shepparton,3630,PO Box 1922,Shepparton, 3630, abcshepparton, http://www.facebook.com/pages/ABC-Goulburn-Murray/108985902469981
VIC,http://www.abc.net.au/southwestvic/,ABC South West Victoria, Warrnambool ,-38.382236,142.481041,1300 001 602,03 5560 3111,03 5560 3199,0467 842 722,166B Koroit Street,Warrnambool,3280,PO Box 310,Warrnambool, 3280, abcsouthwestvic, http://www.facebook.com/abcballaratandsouthwestvic
VIC,http://www.abc.net.au/westernvic/,ABC Wimmera, Horsham ,-36.711625,142.200623,1300 594 222,03 5381 5311,03 5381 5399,0467 842 722,Shop 3 / 148 Baillie St,Horsham,3400,PO Box 506,Horsham, 3402, abcwesternvic, http://www.facebook.com/abcwesternvic
WA,http://www.abc.net.au/esperance/,ABC Esperance, Esperance ,-33.860365,121.891482,1300 633 837,08 9083 2011,08 9083 2099,0448 922 604,80b Windich Street,Esperance,6450,PO Box 230,Esperance, 6450, ABCEsperanceWA, http://www.facebook.com/pages/ABC-Goldfields-Esperance/264557191711
WA,http://www.abc.net.au/goldfields/,ABC Goldfields, Kalgoorlie-Boulder ,-30.747667,121.472302,1300 525 222,08 9093 7011,08 9093 7099,0448 922 604,353 Hannan Street,Kalgoorlie,6430,PO Box 125,Kalgoorlie, 6430, ABCGoldfieldsWA, http://www.facebook.com/pages/ABC-Goldfields-Esperance/264557191711
WA,http://www.abc.net.au/greatsouthern/,ABC Great Southern, Albany ,-35.020683,117.884417,1300 560 222,08 984 24011,08 9842 4099,0448 922 604,2 St Emilie Way,Albany,6330,,, , ABCGreatSouthWA, http://www.facebook.com/pages/ABC-South-Coast-Great-Southern/110402535676145
WA,http://www.abc.net.au/kimberley/,ABC Kimberley, Broome ,-17.961033,122.240700,1300 242 675,08 9191 3011,,0448 922 604,23 Hamersley St,Broome,6725,PO Box 217,Broome, 6725, abckimberley, http://www.facebook.com/ABCKimberley
WA,http://www.abc.net.au/northwestwa/,ABC Pilbara, Karratha ,-20.737262,116.850060,1300 510 222,08 9183 5011,08 9183 5099,0448 922 604,Degrey Place,Karratha,6714,PO Box 994,Karratha, 6714, abcnorthwestwa, http://www.facebook.com/pages/ABC-North-West/261072136810
WA,http://www.abc.net.au/perth/,ABC Radio Perth, Perth ,-31.951983,115.873146,1300 222 720,08 9220 2700,08 9220 2727,0437 922 720,30 Fielder St,East Perth,6004,GPO Box 9994,Perth, 6848, abcperth, https://www.facebook.com/abcperth
WA,http://www.abc.net.au/southwestwa/,ABC South West WA, Bunbury ,-33.325520,115.635320,1300 545 222,9792 2711,9792 2799,0448 922 604,72 Wittenoom St,Bunbury,6230,PO Box 242,Bunbury, 6231, abcsouthwestwa, http://www.facebook.com/pages/ABC-South-West/324833711810
WA,http://www.abc.net.au/wheatbelt/,ABC Mid-West and Wheatbelt, Geraldton ,-28.773068,114.611265,1300 501 222,08 9923 4111,08 9923 4199,0448 922 604,245 Marine Terrace,Geraldton,6530,PO Box 211,Geraldton, 6530, abcmidwestwa, http://www.facebook.com/pages/ABC-Midwest-and-Wheatbelt/313319550984
SA,http://www.abc.net.au/adelaide/,ABC Radio Adelaide, Adelaide ,-34.887844,138.613807,1300 222 891,08 8343 4000,08 8343 4402,0467 922 891,85 North East Road,Collinswood,5081,GPO Box 9994,Adelaide, 5001, abcadelaide, https://www.facebook.com/abcadelaide
SA,http://www.abc.net.au/eyre/,ABC Eyre Peninsula and West Coast, Port Lincoln ,-34.719869,135.857277,(08) 8683 2600,(08) 86832611,(08) 8683 2699,0467 922 783,First Floor -  Civic Centre 60 Tasman Terrace,Port Lincoln,5606,PO Box 679,Port Lincoln, 5606, 1485ABCEP, http://www.facebook.com/pages/ABC-Eyre-Peninsula/257607410935906
SA,http://www.abc.net.au/northandwest/,639 ABC North and West, Port Pirie ,-33.190464,138.008891,1300 160 222,(08) 8638 4811,(08) 8638 4899,0467 922 783,85 Grey Terrace,Port Pirie,5540,PO Box 289,Port Pirie, 5540, ABCnorthandwest, http://www.facebook.com/pages/ABC-North-and-West/188221476396
SA,http://www.abc.net.au/riverland/,ABC Riverland, Renmark ,-34.170957,140.750731,(08) 8586 1300,(08) 8586 1300, (08) 8586 1399,0467 922 783,Ral Ral Avenue,Renmark,5341,PO Box 20,Renmark , 5341, ABCRiverland, http://www.facebook.com/pages/ABC-Riverland/129926890361599
SA,http://www.abc.net.au/southeastsa/,ABC South East SA, Mt Gambier ,-37.824908,140.782210891,08 8724 1000,08 8724 1011,08 8724 1099,0467 922 783,31 Penola Road,Mount Gambier,5290,PO Box 1448,Mount Gambier, 5290, abcsoutheastsa, http://www.facebook.com/abcsoutheastsa
ACT,http://www.abc.net.au/canberra/,ABC Radio Canberra, Canberra ,-35.260238,149.133096,1300 681 666,(02) 6275 4555,(02) 6275 4603,0467 922 666,Cnr Northbourne and Wakefield Avenues,Dickson,2602,GPO Box 9994,Canberra, 2601, abccanberra, http://www.facebook.com/666canberra

